movie_id;director_id
tt0020461;nm0878338
tt0020466;nm0124877
tt0020475;nm0655065
tt0020479;nm0853130
tt0020480;nm0624714
tt0020488;nm0394399
tt0020490;nm0097648
tt0020492;nm0115218
tt0020499;nm0903049
tt0020502;nm0245385
tt0020510;nm0003226
tt0020514;nm0332539
tt0020516;nm0892045
tt0020530;nm0000320
tt0020534;nm0000859
tt0020538;nm0176699
tt0020542;nm0624714
tt0020543;nm0397678
tt0020547;nm0688543
tt0020556;nm0281808
tt0020563;nm0654868
tt0020570;nm0266691
tt0020570;nm0655065
tt0020572;nm0115669
tt0020572;nm0820461
tt0020581;nm0115218
tt0020585;nm0782682
tt0020589;nm0291548
tt0020590;nm0002188
tt0020608;nm0777579
tt0020613;nm0001008
tt0020620;nm0000428
tt0020629;nm0587277
tt0020640;nm0373511
tt0020641;nm0113284
tt0020642;nm0275494
tt0020656;nm0245213
tt0020661;nm0782682
tt0020668;nm0922327
tt0020670;nm0293260
tt0020673;nm0107543
tt0020679;nm0878338
tt0020686;nm0384276
tt0020686;nm0934980
tt0020690;nm0377126
tt0020691;nm0517264
tt0020691;nm0909825
tt0020693;nm0896542
tt0020695;nm0123556
tt0020695;nm0342417
tt0020697;nm0903049
tt0020701;nm0534226
tt0020702;nm0000406
tt0020713;nm0002031
tt0020724;nm0102643
tt0020740;nm0189076
tt0020754;nm0160280
tt0020758;nm0114266
tt0020763;nm0064600
tt0020768;nm0003638
tt0020785;nm0127511
tt0020793;nm0002190
tt0020799;nm0806061
tt0020806;nm0782707
tt0020814;nm0245213
tt0020815;nm0001328
tt0020821;nm0280463
tt0020823;nm0332539
tt0020827;nm0502752
tt0020828;nm0715564
tt0020836;nm0562845
tt0020838;nm0781292
tt0020842;nm0857949
tt0020852;nm0116103
tt0020866;nm0005847
tt0020869;nm0668972
tt0020873;nm0628345
tt0020875;nm0624756
tt0020876;nm0115669
tt0020876;nm0516001
tt0020890;nm0782682
tt0020891;nm0064600
tt0020894;nm0180987
tt0020894;nm0776997
tt0020896;nm0188669
tt0020900;nm0002179
tt0020902;nm0781292
tt0020919;nm0939992
tt0020924;nm0782682
tt0020926;nm0258015
tt0020929;nm0342417
tt0020938;nm0337586
tt0020945;nm0806061
tt0020949;nm0831577
tt0020959;nm0454771
tt0020960;nm0001843
tt0020960;nm0332539
tt0020960;nm0400652
tt0020966;nm0307819
tt0020980;nm0654868
tt0020985;nm0341486
tt0020987;nm0166836
tt0021001;nm0690120
tt0021013;nm0001843
tt0021016;nm0124877
tt0021025;nm0026960
tt0021025;nm0487237
tt0021040;nm0001008
tt0021042;nm0291548
tt0021044;nm0803705
tt0021048;nm0515979
tt0021053;nm0195496
tt0021060;nm0502752
tt0021061;nm0564970
tt0021069;nm0215877
